0, 946, 646
1, 946, 645
2, 946, 646
3, 946, 648
4, 946, 648
5, 945, 646
6, 947, 648
7, 946, 648
8, 946, 649
9, 950, 657
10, 947, 650
11, 947, 649
12, 947, 648
13, 946, 649
14, 946, 648
15, 947, 651
16, 947, 650
17, 947, 651
18, 946, 651
19, 821, 728
20, 822, 732
21, 821, 732
22, 821, 732
23, 821, 731
24, 820, 729
25, 820, 728
26, 821, 728
27, 821, 727
28, 821, 727
29, 821, 725
30, 822, 725
31, 822, 726
32, 822, 724
33, 823, 720
34, 823, 720
35, 824, 718
36, 823, 720
37, 824, 718
38, 824, 720
39, 824, 720
40, 825, 718
41, 824, 724
42, 826, 721
43, 949, 672
44, 949, 660
45, 950, 659
46, 950, 658
47, 949, 661
48, 949, 661
49, 949, 659
50, 949, 672
51, 949, 673
52, 948, 660
53, 947, 658
54, 949, 657
55, 949, 663
56, 948, 659
57, 947, 655
58, 948, 656
59, 948, 656
60, 946, 656
61, 947, 658
62, 948, 657
63, 949, 669
64, 948, 658
65, 948, 661
66, 826, 722
67, 824, 728
68, 912, 730
69, 896, 711
70, 945, 647
71, 949, 651
72, 944, 649
73, 944, 647
74, 933, 647
75, 935, 646
76, 939, 648
77, 934, 649
78, 936, 648
79, 937, 651
80, 933, 655
81, 941, 644
82, 942, 645
83, 940, 651
84, 949, 648
85, 944, 656
86, 940, 660
87, 1086, 703
88, 949, 672
89, 948, 672
90, 1088, 723
91, 1091, 724
92, 963, 692
93, 961, 739
94, 958, 717
95, 959, 698
96, 958, 713
97, 958, 690
98, 955, 681
99, 953, 681
100, 956, 686
101, 951, 680
102, 940, 683
103, 865, 687
104, 933, 681
105, 870, 688
106, 956, 683
107, 934, 681
108, 961, 700
109, 879, 683
110, 41, 529
112, 943, 680
113, 946, 673
115, 958, 696
116, 959, 728
117, 971, 732
118, 965, 705
119, 965, 690
120, 969, 711
121, 970, 696
122, 954, 665
123, 957, 679
124, 954, 683
125, 958, 675
126, 955, 676
127, 966, 668
128, 963, 674
129, 968, 669
131, 953, 698
132, 954, 705
133, 952, 710
134, 950, 701
135, 944, 775
136, 960, 715
137, 956, 712
138, 640, 553
140, 961, 721
141, 951, 721
142, 883, 718
143, 926, 670
144, 874, 674
145, 885, 687
146, 946, 711
147, 922, 670
148, 883, 678
150, 593, 499
151, 592, 563
152, 436, 480
153, 581, 568
154, 579, 568
155, 418, 658
156, 406, 662
157, 431, 230
159, 388, 668
160, 380, 670
161, 377, 671
162, 538, 491
164, 1037, 674
166, 922, 719
167, 922, 679
168, 940, 672
170, 947, 668
171, 955, 671
172, 946, 654
173, 949, 663
174, 232, 723
175, 949, 709
176, 937, 702
177, 937, 677
178, 945, 692
179, 944, 680
180, 947, 705
181, 943, 692
182, 927, 692
183, 929, 697
184, 929, 702
185, 930, 704
186, 920, 708
187, 925, 706
188, 912, 686
189, 919, 719
192, 901, 668
193, 906, 669
194, 919, 676
195, 288, 642
196, 1589, 667
197, 1601, 725
198, 902, 673
199, 907, 679
200, 263, 666
201, 858, 685
202, 227, 663
203, 220, 665
204, 218, 674
205, 209, 670
206, 205, 679
207, 202, 678
208, 196, 684
210, 186, 691
211, 182, 696
212, 176, 701
213, 171, 720
214, 518, 475
215, 158, 742
216, 154, 752
217, 505, 466
218, 1720, 789
219, 1725, 789
220, 1731, 798
221, 1735, 813
222, 1743, 811
223, 462, 479
224, 1763, 833
225, 1770, 841
226, 1780, 854
227, 1789, 863
228, 924, 693
230, 1834, 913
231, 927, 710
232, 920, 686
234, 908, 733
235, 912, 732
236, 904, 718
237, 904, 711
238, 903, 708
239, 880, 737
241, 886, 728
242, 859, 749
249, 876, 681
251, 854, 709
252, 862, 704
253, 866, 708
254, 854, 712
257, 852, 725
258, 854, 716
259, 887, 722
261, 904, 747
262, 900, 717
263, 906, 696
264, 906, 704
265, 909, 763
266, 912, 716
267, 914, 723
270, 904, 796
271, 995, 652
274, 1029, 655
277, 1002, 703
278, 1002, 722
279, 1012, 748
285, 922, 796
289, 908, 779
290, 904, 784
291, 902, 779
292, 900, 781
294, 897, 789
295, 906, 809
298, 1468, 806
299, 848, 766
307, 864, 755
311, 1731, 73
314, 928, 789
316, 64, 857
318, 962, 801
319, 952, 791
320, 949, 801
321, 940, 812
322, 941, 823
325, 972, 760
326, 980, 780
343, 920, 781
344, 924, 800
362, 1151, 835
363, 956, 830
364, 869, 495
367, 690, 335
383, 969, 827
384, 955, 754
385, 948, 841
386, 947, 860
390, 497, 483
397, 775, 551
399, 883, 740
416, 973, 830
418, 966, 843
422, 978, 801
423, 1007, 727
432, 1104, 737
434, 956, 801
435, 965, 831
436, 963, 845
437, 961, 844
438, 959, 853
439, 955, 869
454, 797, 542
464, 1001, 832
473, 647, 415
479, 1033, 725
481, 989, 489
482, 1841, 784
486, 976, 493
495, 869, 809
497, 873, 752
498, 944, 562
503, 1364, 451
506, 955, 732
515, 996, 824
519, 995, 819
520, 986, 905
522, 996, 802
523, 997, 727
530, 1102, 679
531, 1117, 707
532, 1106, 719
535, 1009, 807
536, 1051, 828
537, 980, 755
539, 974, 823
540, 968, 830
541, 1601, 582
544, 899, 822
545, 918, 802
547, 904, 749
548, 883, 781
550, 942, 731
552, 929, 734
560, 1859, 852
569, 989, 911
570, 932, 530
571, 944, 525
582, 1114, 702
583, 1117, 720
584, 1016, 758
585, 979, 472
600, 966, 537
601, 806, 525
603, 954, 508
604, 1056, 506
605, 1041, 501
606, 976, 499
607, 947, 496
608, 947, 498
609, 974, 499
610, 898, 496
611, 841, 506
612, 931, 512
618, 1165, 842
619, 1000, 827
620, 1880, 847
621, 1889, 866
624, 1134, 716
625, 1026, 512
630, 968, 484
632, 976, 474
634, 1001, 745
636, 1025, 470
647, 910, 548
653, 983, 466
656, 929, 696
666, 921, 675
668, 960, 713
670, 919, 754
671, 916, 775
673, 1150, 1025
675, 912, 800
676, 997, 793
677, 872, 369
678, 854, 177
679, 908, 374
680, 904, 346
681, 871, 297
687, 679, 89
693, 926, 692
695, 1004, 651
698, 948, 690
699, 948, 691
700, 937, 687
701, 936, 689
702, 938, 689
724, 1025, 383
725, 1023, 383
726, 1023, 383
727, 1017, 383
757, 513, 266
759, 499, 275
760, 936, 689
761, 936, 690
762, 938, 685
765, 938, 690
766, 548, 274
792, 529, 467
801, 722, 276
803, 334, 229
808, 938, 682
815, 960, 686
818, 954, 679
821, 957, 669
824, 961, 672
826, 968, 666
830, 975, 687
833, 934, 670
839, 990, 888
843, 900, 702
845, 892, 587
846, 899, 609
857, 971, 796
860, 917, 628
861, 924, 626
873, 991, 817
875, 1004, 804
876, 1000, 801
877, 1014, 789
878, 1026, 772
879, 1020, 777
880, 1025, 781
881, 1021, 782
882, 1004, 788
883, 1010, 789
884, 1005, 793
885, 1218, 1032
886, 990, 784
887, 989, 808
888, 991, 811
889, 986, 817
895, 986, 547
896, 1118, 445
898, 901, 755
901, 825, 739
902, 822, 739
903, 823, 741
904, 962, 523
906, 1864, 489
909, 1140, 532
913, 999, 521
915, 1162, 835
920, 1154, 758
923, 447, 390
924, 1148, 644
925, 1141, 675
926, 1144, 682
927, 978, 473
928, 359, 936
929, 1151, 702
930, 997, 726
931, 1125, 722
932, 429, 935
933, 880, 514
936, 904, 519
945, 420, 407
946, 972, 531
947, 974, 530
948, 963, 903
956, 822, 643
958, 712, 677
959, 812, 508
960, 773, 661
966, 836, 658
967, 456, 913
968, 1009, 820
969, 962, 518
973, 1859, 786
974, 1882, 803
976, 1463, 630
978, 1148, 697
979, 1138, 691
980, 1126, 692
981, 729, 675
982, 1029, 747
983, 745, 690
984, 1137, 753
985, 1143, 771
987, 1058, 823
988, 588, 738
989, 1161, 840
995, 619, 815
997, 616, 894
998, 608, 911
999, 582, 926
1005, 604, 948
1007, 589, 985
1024, 1080, 390
1026, 560, 730
1028, 290, 617
1043, 826, 741
1044, 829, 738
1047, 1557, 315
1048, 47, 228
1049, 52, 235
1054, 895, 734
1055, 1001, 778
1057, 1007, 772
1058, 963, 733
1059, 975, 763
1062, 553, 387
1063, 571, 336
1064, 319, 252
1065, 1104, 589
1066, 963, 515
1067, 999, 647
1069, 1107, 673
1070, 475, 219
1071, 1115, 722
1073, 959, 914
1074, 366, 338
1075, 365, 347
1076, 370, 352
1077, 1001, 821
1078, 975, 823
1079, 867, 815
1080, 956, 820
1081, 387, 366
1082, 385, 374
1084, 879, 792
1085, 905, 757
1087, 929, 745
1088, 989, 785
1089, 987, 745
1090, 913, 721
1091, 911, 729
1092, 907, 738
1093, 937, 739
1095, 975, 750
1098, 942, 750
1099, 547, 757
1100, 540, 326
1103, 919, 898
1107, 964, 698
1108, 956, 698
1109, 1040, 695
1110, 1098, 662
1111, 1095, 674
1112, 1105, 697
1113, 1098, 711
1114, 1123, 735
1115, 1105, 762
1116, 984, 812
1117, 681, 480
1121, 970, 817
1122, 963, 817
1123, 891, 823
1124, 974, 745
1125, 935, 752
1126, 879, 751
1127, 1812, 308
1128, 897, 740
1129, 982, 738
1131, 903, 746
1132, 900, 750
1133, 913, 745
1134, 906, 748
1135, 917, 752
1136, 1859, 432
1137, 979, 758
1138, 938, 756
1139, 921, 756
1140, 948, 744
1143, 990, 888
1144, 992, 893
1146, 910, 885
1149, 952, 703
1152, 1014, 17
1153, 1100, 655
1154, 1852, 40
1155, 1853, 35
1156, 973, 904
1157, 1136, 754
1159, 979, 827
1160, 1160, 855
1161, 1169, 882
1162, 490, 530
1164, 965, 834
1165, 972, 809
1166, 972, 762
1167, 979, 746
1168, 973, 753
1169, 934, 751
1170, 1887, 590
1171, 1089, 478
1172, 1896, 598
1173, 1008, 853
1174, 950, 745
1175, 647, 457
1176, 904, 747
1177, 914, 748
1178, 983, 754
1183, 640, 471
1187, 985, 810
1188, 993, 874
1190, 985, 721
1194, 1164, 649
1195, 1127, 647
1196, 1104, 661
1197, 1112, 681
1198, 1116, 697
1201, 1011, 813
1202, 985, 842
1203, 1161, 867
1204, 980, 843
1205, 31, 918
1208, 1246, 514
1209, 972, 765
1210, 988, 738
1211, 1264, 518
1212, 1463, 500
1214, 964, 731
1215, 1506, 513
1216, 1588, 482
1217, 976, 736
1218, 974, 735
1219, 1576, 531
1220, 954, 733
1221, 968, 733
1222, 917, 738
1235, 996, 702
1236, 552, 706
1237, 1515, 645
1238, 1107, 670
1239, 984, 723
1240, 973, 735
1241, 1135, 724
1242, 973, 489
1243, 1164, 776
1244, 347, 934
1246, 1092, 510
1247, 1109, 515
1248, 1211, 518
1249, 949, 513
1251, 988, 540
1252, 411, 947
1253, 1889, 798
1254, 1159, 600
1260, 1346, 572
1261, 1371, 572
1265, 982, 770
1268, 1004, 820
1269, 1005, 809
1270, 1013, 800
1271, 1019, 797
1272, 1025, 792
1273, 1833, 696
1275, 1375, 612
1276, 1888, 850
1277, 1048, 699
1278, 964, 635
1280, 970, 636
1281, 407, 751
1284, 994, 637
1285, 989, 739
1286, 1146, 763
1287, 1000, 734
1288, 1006, 729
1289, 982, 730
1292, 976, 724
1293, 979, 806
1295, 992, 785
1296, 966, 782
1297, 973, 748
1298, 967, 779
1299, 974, 790
1300, 973, 790
1301, 986, 789
1303, 917, 724
1307, 924, 719
1308, 959, 722
1309, 946, 717
1310, 940, 721
1311, 954, 708
1313, 949, 715
1314, 942, 728
1315, 949, 754
1316, 956, 728
1317, 955, 727
1318, 963, 729
1319, 962, 730
1320, 948, 724
1321, 945, 729
1322, 952, 719
1323, 964, 721
1324, 962, 708
1325, 966, 723
1326, 1057, 722
1327, 989, 850
1328, 968, 698
1329, 967, 696
1330, 978, 693
1331, 971, 719
1332, 1056, 704
1335, 27, 396
1336, 986, 701
1337, 980, 712
1339, 985, 712
1340, 991, 744
1341, 1824, 747
1342, 992, 722
1343, 980, 723
1344, 973, 719
1345, 980, 719
1346, 979, 728
1347, 964, 713
1348, 975, 701
1349, 990, 745
1351, 965, 702
1352, 940, 698
1353, 944, 696
1354, 934, 690
1355, 929, 686
1356, 930, 693
1358, 936, 676
1359, 300, 346
1360, 46, 426
1362, 59, 443
1367, 1471, 338
1369, 988, 693
1371, 1101, 741
1373, 973, 693
1374, 963, 698
1375, 997, 688
1376, 968, 690
1377, 994, 675
1378, 978, 672
1379, 984, 673
1380, 980, 662
1381, 989, 483
1384, 1654, 264
1391, 990, 711
1393, 990, 717
1395, 990, 738
1396, 993, 726
1398, 987, 742
1400, 971, 689
1401, 985, 522
1403, 996, 714
1405, 1003, 713
1406, 987, 713
1408, 966, 705
1410, 976, 701
1411, 983, 736
1412, 1003, 705
1413, 935, 660
1414, 931, 691
1415, 989, 692
1417, 998, 699
1418, 996, 697
1420, 979, 491
1422, 241, 469
1423, 996, 701
1425, 247, 368
1426, 245, 369
1430, 233, 428
1431, 232, 390
1435, 214, 380
1437, 212, 378
1438, 213, 374
1439, 213, 374
1440, 214, 372
1441, 978, 718
1442, 987, 697
1443, 968, 691
1444, 908, 796
1445, 927, 702
1446, 972, 696
1447, 209, 377
1448, 207, 382
1449, 970, 677
1450, 974, 700
1451, 207, 377
1452, 207, 377
1453, 968, 665
1454, 967, 671
1455, 966, 664
1456, 970, 669
1457, 968, 663
1458, 212, 376
1459, 973, 669
1460, 970, 664
1461, 968, 673
1462, 969, 664
1463, 967, 668
1464, 969, 666
1465, 1020, 44
1466, 1020, 44
1467, 966, 662
1468, 972, 669
1469, 973, 669
1470, 972, 682
1471, 973, 677
1472, 972, 679
1473, 982, 664
1474, 972, 677
1475, 971, 667
1476, 970, 678
1477, 970, 669
1478, 970, 671
1479, 969, 669
1481, 943, 666
1485, 969, 695
1486, 971, 696
1487, 972, 673
1488, 972, 668
1489, 972, 663
1490, 971, 662
1491, 969, 661
1492, 968, 654
1493, 968, 664
1494, 951, 656
1495, 968, 660
1496, 969, 658
1497, 968, 655
1498, 969, 654
1499, 953, 653
1500, 974, 665
1501, 971, 665
1502, 972, 669
1503, 971, 669
1504, 972, 664
1505, 972, 661
1506, 971, 654
1507, 973, 655
1508, 974, 663
1509, 973, 661
1510, 974, 660
1511, 971, 655
1512, 972, 660
1513, 973, 665
1514, 972, 677
1515, 971, 674
1516, 972, 678
1517, 972, 671
1518, 973, 667
1519, 973, 670
1520, 973, 666
1521, 972, 660
1522, 973, 659
1523, 972, 658
1524, 971, 657
1525, 972, 656
1526, 971, 658
1527, 970, 657
